AP890102-0139 4:0.4489247311827957 15:0.19086021505376344 1:0.11200716845878136 7:0.10125448028673835 0:0.06182795698924731 3:0.02956989247311828 11:0.01881720430107527 5:0.015232974910394265 6:0.004480286738351254 8:0.004480286738351254 10:0.004480286738351254 12:8.960573476702509E-4 13:8.960573476702509E-4 14:8.960573476702509E-4 16:8.960573476702509E-4 17:8.960573476702509E-4 18:8.960573476702509E-4 19:8.960573476702509E-4 2:8.960573476702509E-4 9:8.960573476702509E-4
AP891114-0196 1:0.32472067039106145 15:0.18505586592178772 2:0.15153631284916202 7:0.12360335195530726 19:0.05377094972067039 9:0.05097765363128492 17:0.031424581005586594 14:0.02863128491620112 13:0.014664804469273743 6:0.011871508379888268 18:0.006284916201117319 12:0.0034916201117318434 0:0.0034916201117318434 4:0.0034916201117318434 5:0.0034916201117318434 11:6.983240223463687E-4 16:6.983240223463687E-4 3:6.983240223463687E-4 8:6.983240223463687E-4 10:6.983240223463687E-4
AP891114-0250 5:0.59251968503937 18:0.21456692913385828 0:0.09645669291338582 15:0.04921259842519685 13:0.00984251968503937 16:0.00984251968503937 11:0.001968503937007874 12:0.001968503937007874 14:0.001968503937007874 17:0.001968503937007874 19:0.001968503937007874 1:0.001968503937007874 2:0.001968503937007874 3:0.001968503937007874 4:0.001968503937007874 6:0.001968503937007874 7:0.001968503937007874 8:0.001968503937007874 9:0.001968503937007874 10:0.001968503937007874
AP891115-0134 13:0.33643617021276595 12:0.17154255319148937 7:0.16622340425531915 1:0.13962765957446807 15:0.08111702127659574 11:0.03324468085106383 19:0.017287234042553192 9:0.017287234042553192 14:0.011968085106382979 0:0.011968085106382979 16:0.0013297872340425532 17:0.0013297872340425532 18:0.0013297872340425532 2:0.0013297872340425532 3:0.0013297872340425532 4:0.0013297872340425532 5:0.0013297872340425532 6:0.0013297872340425532 8:0.0013297872340425532 10:0.0013297872340425532
AP891115-0174 8:0.32464028776978415 9:0.1843525179856115 17:0.1447841726618705 6:0.08003597122302158 11:0.06205035971223022 5:0.051258992805755396 10:0.047661870503597124 15:0.0368705035971223 1:0.03327338129496403 18:0.011690647482014389 2:0.008093525179856115 3:0.008093525179856115 12:8.992805755395684E-4 13:8.992805755395684E-4 14:8.992805755395684E-4 16:8.992805755395684E-4 19:8.992805755395684E-4 0:8.992805755395684E-4 4:8.992805755395684E-4 7:8.992805755395684E-4
AP891115-0197 3:0.8208661417322834 1:0.05708661417322835 10:0.05708661417322835 8:0.017716535433070866 14:0.00984251968503937 15:0.00984251968503937 11:0.001968503937007874 12:0.001968503937007874 13:0.001968503937007874 16:0.001968503937007874 17:0.001968503937007874 18:0.001968503937007874 19:0.001968503937007874 0:0.001968503937007874 2:0.001968503937007874 4:0.001968503937007874 5:0.001968503937007874 6:0.001968503937007874 7:0.001968503937007874 9:0.001968503937007874
AP891115-0232 14:0.4708333333333333 8:0.12083333333333333 17:0.07083333333333333 3:0.07083333333333333 5:0.07083333333333333 7:0.07083333333333333 4:0.05416666666666667 11:0.020833333333333332 12:0.004166666666666667 13:0.004166666666666667 15:0.004166666666666667 16:0.004166666666666667 18:0.004166666666666667 19:0.004166666666666667 0:0.004166666666666667 1:0.004166666666666667 2:0.004166666666666667 6:0.004166666666666667 9:0.004166666666666667 10:0.004166666666666667
AP891115-0281 11:0.38515625 1:0.15390625 15:0.07890625 19:0.05703125 9:0.05703125 2:0.05390625 8:0.04765625 5:0.04453125 13:0.04140625 7:0.03515625 0:0.02265625 3:0.01015625 16:0.00703125 12:7.8125E-4 14:7.8125E-4 17:7.8125E-4 18:7.8125E-4 4:7.8125E-4 6:7.8125E-4 10:7.8125E-4
AP891116-0034 9:0.23184818481848185 8:0.17574257425742573 14:0.10643564356435643 6:0.09983498349834984 17:0.07343234323432343 10:0.07013201320132013 0:0.05693069306930693 3:0.05693069306930693 12:0.040429042904290426 11:0.027227722772277228 16:0.014026402640264026 7:0.014026402640264026 13:0.010726072607260726 18:0.010726072607260726 1:0.004125412541254125 5:0.004125412541254125 15:8.250825082508251E-4 19:8.250825082508251E-4 2:8.250825082508251E-4 4:8.250825082508251E-4
AP891116-0087 3:0.7721238938053098 15:0.06415929203539823 14:0.03761061946902655 6:0.028761061946902654 10:0.028761061946902654 8:0.01991150442477876 13:0.011061946902654867 1:0.011061946902654867 11:0.0022123893805309734 12:0.0022123893805309734 16:0.0022123893805309734 17:0.0022123893805309734 18:0.0022123893805309734 19:0.0022123893805309734 0:0.0022123893805309734 2:0.0022123893805309734 4:0.0022123893805309734 5:0.0022123893805309734 7:0.0022123893805309734 9:0.0022123893805309734
AP891116-0155 12:0.3767605633802817 13:0.23591549295774647 15:0.1795774647887324 1:0.07629107981220658 9:0.062206572769953054 10:0.02464788732394366 2:0.01056338028169014 14:0.005868544600938967 16:0.005868544600938967 0:0.005868544600938967 5:0.005868544600938967 11:0.0011737089201877935 17:0.0011737089201877935 18:0.0011737089201877935 19:0.0011737089201877935 3:0.0011737089201877935 4:0.0011737089201877935 6:0.0011737089201877935 7:0.0011737089201877935 8:0.0011737089201877935
AP891116-0181 10:0.5339721254355401 15:0.1994773519163763 9:0.11933797909407666 3:0.03571428571428571 13:0.028745644599303136 0:0.02177700348432056 4:0.02177700348432056 5:0.01132404181184669 11:0.0078397212543554 6:0.0078397212543554 1:0.004355400696864111 12:8.710801393728223E-4 14:8.710801393728223E-4 16:8.710801393728223E-4 17:8.710801393728223E-4 18:8.710801393728223E-4 19:8.710801393728223E-4 2:8.710801393728223E-4 7:8.710801393728223E-4 8:8.710801393728223E-4
AP891116-0217 18:0.3344298245614035 9:0.20285087719298245 15:0.12828947368421054 11:0.12390350877192982 7:0.0537280701754386 13:0.044956140350877194 0:0.03618421052631579 6:0.023026315789473683 10:0.023026315789473683 14:0.01864035087719298 12:0.0010964912280701754 16:0.0010964912280701754 17:0.0010964912280701754 19:0.0010964912280701754 1:0.0010964912280701754 2:0.0010964912280701754 3:0.0010964912280701754 4:0.0010964912280701754 5:0.0010964912280701754 8:0.0010964912280701754
AP891117-0095 3:0.41125 10:0.26125 15:0.12125 1:0.10125 9:0.02125 19:0.01625 5:0.01625 2:0.01125 4:0.01125 8:0.01125 6:0.00625 11:0.00125 12:0.00125 13:0.00125 14:0.00125 16:0.00125 17:0.00125 18:0.00125 0:0.00125 7:0.00125
AP891117-0195 3:0.42125 10:0.35125 15:0.05625 1:0.05125 9:0.03625 19:0.02625 16:0.01625 6:0.01625 12:0.00625 17:0.00625 11:0.00125 13:0.00125 14:0.00125 18:0.00125 0:0.00125 2:0.00125 4:0.00125 5:0.00125 7:0.00125 8:0.00125
AP891117-0238 8:0.25666666666666665 5:0.19533333333333333 17:0.16066666666666668 1:0.126 15:0.118 6:0.07266666666666667 14:0.03 9:0.014 4:0.006 7:0.006 10:0.006 11:0.0033333333333333335 12:6.666666666666666E-4 13:6.666666666666666E-4 16:6.666666666666666E-4 18:6.666666666666666E-4 19:6.666666666666666E-4 0:6.666666666666666E-4 2:6.666666666666666E-4 3:6.666666666666666E-4
AP891117-0239 8:0.2264784946236559 2:0.1350806451612903 17:0.11088709677419355 1:0.1081989247311828 15:0.08669354838709678 11:0.07594086021505377 3:0.05443548387096774 6:0.049059139784946235 7:0.035618279569892476 9:0.03293010752688172 0:0.02486559139784946 14:0.019489247311827957 16:0.0114247311827957 19:0.0114247311827957 5:0.0114247311827957 4:0.003360215053763441 12:6.720430107526882E-4 13:6.720430107526882E-4 18:6.720430107526882E-4 10:6.720430107526882E-4
AP891117-0268 5:0.38779527559055116 6:0.1515748031496063 17:0.09645669291338582 11:0.08070866141732283 1:0.06496062992125984 14:0.04133858267716536 2:0.04133858267716536 19:0.03346456692913386 3:0.03346456692913386 9:0.025590551181102362 16:0.00984251968503937 18:0.00984251968503937 7:0.00984251968503937 12:0.001968503937007874 13:0.001968503937007874 15:0.001968503937007874 0:0.001968503937007874 4:0.001968503937007874 8:0.001968503937007874 10:0.001968503937007874
AP891118-0179 0:0.29891304347826086 9:0.18400621118012422 15:0.1529503105590062 1:0.1063664596273292 10:0.09083850931677019 5:0.05357142857142857 3:0.02872670807453416 6:0.02872670807453416 14:0.019409937888198756 13:0.016304347826086956 11:0.0038819875776397515 18:0.0038819875776397515 19:0.0038819875776397515 4:0.0038819875776397515 12:7.763975155279503E-4 16:7.763975155279503E-4 17:7.763975155279503E-4 2:7.763975155279503E-4 7:7.763975155279503E-4 8:7.763975155279503E-4
AP891119-0002 16:0.298992673992674 2:0.20558608058608058 1:0.1652930402930403 3:0.07188644688644688 9:0.06639194139194139 15:0.051739926739926737 4:0.042582417582417584 6:0.0260989010989011 14:0.018772893772893772 10:0.013278388278388278 18:0.011446886446886446 5:0.009615384615384616 11:0.005952380952380952 19:0.004120879120879121 8:0.004120879120879121 13:0.0022893772893772895 12:4.578754578754579E-4 17:4.578754578754579E-4 0:4.578754578754579E-4 7:4.578754578754579E-4
AP891119-0038 14:0.33285714285714285 16:0.16714285714285715 15:0.13857142857142857 5:0.11 18:0.07 12:0.06428571428571428 2:0.047142857142857146 13:0.018571428571428572 17:0.012857142857142857 3:0.012857142857142857 11:0.007142857142857143 4:0.007142857142857143 19:0.0014285714285714286 0:0.0014285714285714286 1:0.0014285714285714286 6:0.0014285714285714286 7:0.0014285714285714286 8:0.0014285714285714286 9:0.0014285714285714286 10:0.0014285714285714286
AP891120-0082 16:0.5861013986013986 15:0.15603146853146854 3:0.06162587412587413 2:0.040646853146853144 19:0.03715034965034965 6:0.028409090909090908 10:0.028409090909090908 1:0.021416083916083916 4:0.014423076923076924 9:0.012674825174825174 0:0.003933566433566434 13:0.0021853146853146855 17:0.0021853146853146855 18:0.0021853146853146855 11:4.3706293706293706E-4 12:4.3706293706293706E-4 14:4.3706293706293706E-4 5:4.3706293706293706E-4 7:4.3706293706293706E-4 8:4.3706293706293706E-4
AP891120-0196 1:0.27259036144578314 7:0.10993975903614457 13:0.10391566265060241 11:0.09789156626506024 16:0.09789156626506024 15:0.07379518072289157 18:0.0677710843373494 14:0.05572289156626506 6:0.043674698795180725 5:0.01957831325301205 2:0.01355421686746988 4:0.01355421686746988 17:0.007530120481927711 3:0.007530120481927711 10:0.007530120481927711 12:0.0015060240963855422 19:0.0015060240963855422 0:0.0015060240963855422 8:0.0015060240963855422 9:0.0015060240963855422
AP891121-0029 12:0.21713615023474178 10:0.21244131455399062 15:0.142018779342723 0:0.12793427230046947 9:0.08568075117370892 11:0.062206572769953054 3:0.0528169014084507 14:0.02464788732394366 17:0.02464788732394366 1:0.02464788732394366 2:0.005868544600938967 4:0.005868544600938967 5:0.005868544600938967 13:0.0011737089201877935 16:0.0011737089201877935 18:0.0011737089201877935 19:0.0011737089201877935 6:0.0011737089201877935 7:0.0011737089201877935 8:0.0011737089201877935
AP891121-0044 11:0.272196261682243 0:0.21144859813084113 9:0.1647196261682243 15:0.09462616822429906 5:0.07126168224299065 8:0.06191588785046729 19:0.038551401869158876 16:0.029205607476635514 14:0.010514018691588784 17:0.010514018691588784 10:0.010514018691588784 18:0.005841121495327103 4:0.005841121495327103 6:0.005841121495327103 12:0.0011682242990654205 13:0.0011682242990654205 1:0.0011682242990654205 2:0.0011682242990654205 3:0.0011682242990654205 7:0.0011682242990654205
AP891123-0087 16:0.2442528735632184 15:0.23275862068965517 10:0.16379310344827586 2:0.14080459770114942 1:0.0603448275862069 13:0.04885057471264368 14:0.04885057471264368 3:0.02586206896551724 11:0.0028735632183908046 12:0.0028735632183908046 17:0.0028735632183908046 18:0.0028735632183908046 19:0.0028735632183908046 0:0.0028735632183908046 4:0.0028735632183908046 5:0.0028735632183908046 6:0.0028735632183908046 7:0.0028735632183908046 8:0.0028735632183908046 9:0.0028735632183908046
AP891123-0090 16:0.6056581986143187 9:0.16685912240184758 15:0.09988452655889145 1:0.044457274826789836 6:0.025981524249422634 18:0.021362586605080832 11:0.009815242494226328 14:0.009815242494226328 12:0.007505773672055427 2:0.002886836027713626 13:5.773672055427252E-4 17:5.773672055427252E-4 19:5.773672055427252E-4 0:5.773672055427252E-4 3:5.773672055427252E-4 4:5.773672055427252E-4 5:5.773672055427252E-4 7:5.773672055427252E-4 8:5.773672055427252E-4 10:5.773672055427252E-4
AP891124-0038 2:0.2941810344827586 1:0.23814655172413793 19:0.10021551724137931 7:0.07004310344827586 14:0.06573275862068965 16:0.04418103448275862 4:0.03987068965517242 10:0.03556034482758621 12:0.03125 15:0.018318965517241378 17:0.018318965517241378 9:0.018318965517241378 11:0.009698275862068966 6:0.009698275862068966 13:0.0010775862068965517 18:0.0010775862068965517 0:0.0010775862068965517 3:0.0010775862068965517 5:0.0010775862068965517 8:0.0010775862068965517
AP891124-0039 1:0.2608173076923077 7:0.19831730769230768 15:0.13581730769230768 12:0.10697115384615384 0:0.10216346153846154 13:0.04447115384615385 2:0.039663461538461536 9:0.030048076923076924 5:0.025240384615384616 8:0.025240384615384616 17:0.006009615384615385 3:0.006009615384615385 4:0.006009615384615385 6:0.006009615384615385 11:0.001201923076923077 14:0.001201923076923077 16:0.001201923076923077 18:0.001201923076923077 19:0.001201923076923077 10:0.001201923076923077
AP891124-0219 11:0.3138888888888889 13:0.26944444444444443 15:0.14722222222222223 5:0.14722222222222223 3:0.03611111111111111 0:0.025 12:0.013888888888888888 19:0.013888888888888888 14:0.002777777777777778 16:0.002777777777777778 17:0.002777777777777778 18:0.002777777777777778 1:0.002777777777777778 2:0.002777777777777778 4:0.002777777777777778 6:0.002777777777777778 7:0.002777777777777778 8:0.002777777777777778 9:0.002777777777777778 10:0.002777777777777778
AP891127-0063 16:0.5835106382978723 15:0.1175531914893617 6:0.08351063829787234 2:0.08138297872340426 1:0.07074468085106383 3:0.013297872340425532 4:0.013297872340425532 7:0.013297872340425532 9:0.009042553191489361 14:0.006914893617021276 0:0.0026595744680851063 11:5.319148936170213E-4 12:5.319148936170213E-4 13:5.319148936170213E-4 17:5.319148936170213E-4 18:5.319148936170213E-4 19:5.319148936170213E-4 5:5.319148936170213E-4 8:5.319148936170213E-4 10:5.319148936170213E-4
AP891127-0071 17:0.4574688796680498 10:0.33713692946058094 2:0.03423236514522822 9:0.03423236514522822 15:0.03008298755186722 14:0.021784232365145227 16:0.021784232365145227 0:0.013485477178423237 8:0.013485477178423237 1:0.00933609958506224 5:0.00933609958506224 6:0.00933609958506224 11:0.001037344398340249 12:0.001037344398340249 13:0.001037344398340249 18:0.001037344398340249 19:0.001037344398340249 3:0.001037344398340249 4:0.001037344398340249 7:0.001037344398340249
AP891127-0145 16:0.362 15:0.226 19:0.09 5:0.074 17:0.058 4:0.058 1:0.042 18:0.026 9:0.026 2:0.01 10:0.01 11:0.002 12:0.002 13:0.002 14:0.002 0:0.002 3:0.002 6:0.002 7:0.002 8:0.002
AP891127-0272 5:0.560077519379845 17:0.14922480620155038 15:0.07170542635658915 9:0.07170542635658915 19:0.06395348837209303 0:0.040697674418604654 4:0.009689922480620155 7:0.009689922480620155 11:0.001937984496124031 12:0.001937984496124031 13:0.001937984496124031 14:0.001937984496124031 16:0.001937984496124031 18:0.001937984496124031 1:0.001937984496124031 2:0.001937984496124031 3:0.001937984496124031 6:0.001937984496124031 8:0.001937984496124031 10:0.001937984496124031
AP891128-0103 0:0.39125 15:0.11625 4:0.10125 6:0.09125 5:0.05125 1:0.04625 9:0.03625 10:0.03625 11:0.03125 2:0.02625 7:0.01625 8:0.01625 14:0.01125 3:0.01125 17:0.00625 19:0.00625 12:0.00125 13:0.00125 16:0.00125 18:0.00125
AP891128-0133 2:0.34296482412060303 1:0.20728643216080403 7:0.1721105527638191 15:0.05150753768844221 14:0.04648241206030151 9:0.0364321608040201 3:0.031407035175879394 11:0.026381909547738693 12:0.02135678391959799 4:0.02135678391959799 18:0.016331658291457288 5:0.011306532663316583 13:0.00628140703517588 16:0.001256281407035176 17:0.001256281407035176 19:0.001256281407035176 0:0.001256281407035176 6:0.001256281407035176 8:0.001256281407035176 10:0.001256281407035176
AP891128-0221 0:0.31808035714285715 11:0.25558035714285715 5:0.15736607142857142 15:0.15290178571428573 4:0.05915178571428571 13:0.014508928571428572 14:0.010044642857142858 16:0.005580357142857143 19:0.005580357142857143 1:0.005580357142857143 10:0.005580357142857143 12:0.0011160714285714285 17:0.0011160714285714285 18:0.0011160714285714285 2:0.0011160714285714285 3:0.0011160714285714285 6:0.0011160714285714285 7:0.0011160714285714285 8:0.0011160714285714285 9:0.0011160714285714285
AP891129-0067 2:0.29086538461538464 19:0.1466346153846154 10:0.13701923076923078 16:0.12740384615384615 8:0.0985576923076923 15:0.06009615384615385 1:0.05048076923076923 0:0.021634615384615384 9:0.021634615384615384 17:0.01201923076923077 4:0.01201923076923077 11:0.002403846153846154 12:0.002403846153846154 13:0.002403846153846154 14:0.002403846153846154 18:0.002403846153846154 3:0.002403846153846154 5:0.002403846153846154 6:0.002403846153846154 7:0.002403846153846154
AP891129-0105 3:0.3581730769230769 13:0.22355769230769232 2:0.12740384615384615 12:0.10817307692307693 14:0.0889423076923077 8:0.03125 11:0.01201923076923077 17:0.01201923076923077 0:0.01201923076923077 15:0.002403846153846154 16:0.002403846153846154 18:0.002403846153846154 19:0.002403846153846154 1:0.002403846153846154 4:0.002403846153846154 5:0.002403846153846154 6:0.002403846153846154 7:0.002403846153846154 9:0.002403846153846154 10:0.002403846153846154
AP891129-0108 17:0.5418918918918919 6:0.21756756756756757 15:0.07162162162162163 10:0.07162162162162163 19:0.02837837837837838 7:0.022972972972972974 11:0.012162162162162163 13:0.012162162162162163 8:0.006756756756756757 12:0.0013513513513513514 14:0.0013513513513513514 16:0.0013513513513513514 18:0.0013513513513513514 0:0.0013513513513513514 1:0.0013513513513513514 2:0.0013513513513513514 3:0.0013513513513513514 4:0.0013513513513513514 5:0.0013513513513513514 9:0.0013513513513513514
AP891129-0155 1:0.30125 3:0.29625 2:0.10625 14:0.07125 11:0.04125 4:0.03125 5:0.02625 15:0.02125 0:0.02125 8:0.02125 18:0.01625 6:0.01625 12:0.00625 17:0.00625 19:0.00625 7:0.00625 13:0.00125 16:0.00125 9:0.00125 10:0.00125
AP891129-0181 16:0.7115384615384616 15:0.14377289377289376 9:0.04120879120879121 5:0.03021978021978022 7:0.022893772893772892 1:0.011904761904761904 0:0.008241758241758242 10:0.008241758241758242 17:0.004578754578754579 19:0.004578754578754579 6:0.004578754578754579 11:9.157509157509158E-4 12:9.157509157509158E-4 13:9.157509157509158E-4 14:9.157509157509158E-4 18:9.157509157509158E-4 2:9.157509157509158E-4 3:9.157509157509158E-4 4:9.157509157509158E-4 8:9.157509157509158E-4
AP891129-0217 16:0.6552132701421801 15:0.14336492890995262 9:0.10071090047393365 19:0.02962085308056872 10:0.015402843601895734 3:0.01066350710900474 5:0.01066350710900474 14:0.005924170616113744 0:0.005924170616113744 1:0.005924170616113744 2:0.005924170616113744 11:0.001184834123222749 12:0.001184834123222749 13:0.001184834123222749 17:0.001184834123222749 18:0.001184834123222749 4:0.001184834123222749 6:0.001184834123222749 7:0.001184834123222749 8:0.001184834123222749
AP891129-0281 17:0.4597457627118644 11:0.09533898305084745 14:0.09533898305084745 15:0.07838983050847458 1:0.06991525423728813 9:0.05296610169491525 0:0.04449152542372881 18:0.019067796610169493 5:0.019067796610169493 7:0.019067796610169493 12:0.01059322033898305 16:0.01059322033898305 4:0.01059322033898305 13:0.00211864406779661 19:0.00211864406779661 2:0.00211864406779661 3:0.00211864406779661 6:0.00211864406779661 8:0.00211864406779661 10:0.00211864406779661
AP891130-0080 3:0.4114987080103359 10:0.18152454780361757 15:0.08074935400516796 1:0.05232558139534884 2:0.05232558139534884 13:0.04198966408268734 9:0.03940568475452196 8:0.02648578811369509 12:0.023901808785529714 7:0.023901808785529714 4:0.013565891472868217 6:0.010981912144702842 17:0.008397932816537468 0:0.008397932816537468 11:0.005813953488372093 14:0.005813953488372093 19:0.005813953488372093 16:0.003229974160206718 18:0.003229974160206718 5:6.459948320413437E-4
AP891130-0086 1:0.4323529411764706 3:0.17745098039215687 14:0.07549019607843137 7:0.07156862745098039 2:0.059803921568627454 4:0.03235294117647059 15:0.028431372549019607 18:0.024509803921568627 8:0.020588235294117647 10:0.020588235294117647 13:0.016666666666666666 5:0.016666666666666666 6:0.012745098039215686 0:0.004901960784313725 11:9.80392156862745E-4 12:9.80392156862745E-4 16:9.80392156862745E-4 17:9.80392156862745E-4 19:9.80392156862745E-4 9:9.80392156862745E-4
AP891130-0101 4:0.6637931034482759 15:0.1388888888888889 0:0.06609195402298851 1:0.039272030651340994 9:0.035440613026819924 2:0.016283524904214558 10:0.012452107279693486 14:0.008620689655172414 3:0.004789272030651341 8:0.004789272030651341 11:9.578544061302681E-4 12:9.578544061302681E-4 13:9.578544061302681E-4 16:9.578544061302681E-4 17:9.578544061302681E-4 18:9.578544061302681E-4 19:9.578544061302681E-4 5:9.578544061302681E-4 6:9.578544061302681E-4 7:9.578544061302681E-4
AP891130-0255 5:0.5678694158075601 1:0.11769759450171821 15:0.0936426116838488 9:0.0936426116838488 18:0.06958762886597938 17:0.03178694158075601 4:0.014604810996563574 11:8.59106529209622E-4 12:8.59106529209622E-4 13:8.59106529209622E-4 14:8.59106529209622E-4 16:8.59106529209622E-4 19:8.59106529209622E-4 0:8.59106529209622E-4 2:8.59106529209622E-4 3:8.59106529209622E-4 6:8.59106529209622E-4 7:8.59106529209622E-4 8:8.59106529209622E-4 10:8.59106529209622E-4
AP891201-0066 10:0.3376865671641791 9:0.2332089552238806 0:0.20335820895522388 1:0.10634328358208955 2:0.03917910447761194 13:0.016791044776119403 14:0.016791044776119403 5:0.016791044776119403 16:0.009328358208955223 11:0.0018656716417910447 12:0.0018656716417910447 15:0.0018656716417910447 17:0.0018656716417910447 18:0.0018656716417910447 19:0.0018656716417910447 3:0.0018656716417910447 4:0.0018656716417910447 6:0.0018656716417910447 7:0.0018656716417910447 8:0.0018656716417910447
AP891201-0115 6:0.7424698795180723 15:0.1460843373493976 1:0.03765060240963856 19:0.01355421686746988 2:0.01355421686746988 10:0.01355421686746988 17:0.007530120481927711 0:0.007530120481927711 11:0.0015060240963855422 12:0.0015060240963855422 13:0.0015060240963855422 14:0.0015060240963855422 16:0.0015060240963855422 18:0.0015060240963855422 3:0.0015060240963855422 4:0.0015060240963855422 5:0.0015060240963855422 7:0.0015060240963855422 8:0.0015060240963855422 9:0.0015060240963855422
AP891201-0156 11:0.3804945054945055 5:0.12225274725274725 10:0.11675824175824176 15:0.10576923076923077 1:0.10576923076923077 17:0.04532967032967033 6:0.03983516483516483 3:0.028846153846153848 18:0.023351648351648352 13:0.012362637362637362 14:0.006868131868131868 12:0.0013736263736263737 16:0.0013736263736263737 19:0.0013736263736263737 0:0.0013736263736263737 2:0.0013736263736263737 4:0.0013736263736263737 7:0.0013736263736263737 8:0.0013736263736263737 9:0.0013736263736263737
AP891202-0095 3:0.7830882352941176 1:0.10661764705882353 6:0.03308823529411765 0:0.01838235294117647 11:0.003676470588235294 12:0.003676470588235294 13:0.003676470588235294 14:0.003676470588235294 15:0.003676470588235294 16:0.003676470588235294 17:0.003676470588235294 18:0.003676470588235294 19:0.003676470588235294 2:0.003676470588235294 4:0.003676470588235294 5:0.003676470588235294 7:0.003676470588235294 8:0.003676470588235294 9:0.003676470588235294 10:0.003676470588235294
AP891203-0017 10:0.4127906976744186 9:0.16029900332225913 15:0.11046511627906977 3:0.0739202657807309 6:0.07059800664451828 1:0.0606312292358804 4:0.03737541528239203 19:0.020764119601328904 18:0.014119601328903655 11:0.01079734219269103 0:0.01079734219269103 14:0.007475083056478406 12:0.004152823920265781 13:8.305647840531562E-4 16:8.305647840531562E-4 17:8.305647840531562E-4 2:8.305647840531562E-4 5:8.305647840531562E-4 7:8.305647840531562E-4 8:8.305647840531562E-4
AP891204-0021 0:0.328125 15:0.20793269230769232 10:0.1502403846153846 9:0.10216346153846154 12:0.05889423076923077 3:0.04447115384615385 4:0.03485576923076923 8:0.030048076923076924 6:0.010817307692307692 11:0.006009615384615385 13:0.006009615384615385 17:0.006009615384615385 18:0.006009615384615385 14:0.001201923076923077 16:0.001201923076923077 19:0.001201923076923077 1:0.001201923076923077 2:0.001201923076923077 5:0.001201923076923077 7:0.001201923076923077
AP891204-0053 16:0.5971385542168675 15:0.0911144578313253 9:0.07605421686746988 1:0.07003012048192771 0:0.04292168674698795 3:0.039909638554216864 5:0.02786144578313253 14:0.01581325301204819 10:0.012801204819277108 13:0.009789156626506024 12:0.00677710843373494 7:0.0037650602409638554 11:7.530120481927711E-4 17:7.530120481927711E-4 18:7.530120481927711E-4 19:7.530120481927711E-4 2:7.530120481927711E-4 4:7.530120481927711E-4 6:7.530120481927711E-4 8:7.530120481927711E-4
AP891204-0124 16:0.3603801169590643 1:0.15570175438596492 15:0.14108187134502925 4:0.07675438596491228 3:0.07090643274853801 2:0.05921052631578947 19:0.04751461988304093 10:0.021198830409356724 6:0.01827485380116959 18:0.012426900584795321 0:0.009502923976608187 11:0.006578947368421052 13:0.006578947368421052 7:0.006578947368421052 14:0.003654970760233918 12:7.309941520467836E-4 17:7.309941520467836E-4 5:7.309941520467836E-4 8:7.309941520467836E-4 9:7.309941520467836E-4
AP891204-0212 4:0.4366028708133971 1:0.2021531100478469 15:0.06818181818181818 11:0.05861244019138756 7:0.05382775119617225 8:0.04904306220095694 2:0.039473684210526314 5:0.029904306220095694 19:0.02033492822966507 13:0.01076555023923445 3:0.01076555023923445 17:0.005980861244019139 9:0.005980861244019139 12:0.0011961722488038277 14:0.0011961722488038277 16:0.0011961722488038277 18:0.0011961722488038277 0:0.0011961722488038277 6:0.0011961722488038277 10:0.0011961722488038277
AP891205-0010 7:0.5151933701657458 15:0.2610497237569061 2:0.05110497237569061 4:0.05110497237569061 0:0.034530386740331494 17:0.029005524861878452 13:0.012430939226519336 9:0.012430939226519336 11:0.006906077348066298 12:0.006906077348066298 19:0.006906077348066298 14:0.0013812154696132596 16:0.0013812154696132596 18:0.0013812154696132596 1:0.0013812154696132596 3:0.0013812154696132596 5:0.0013812154696132596 6:0.0013812154696132596 8:0.0013812154696132596 10:0.0013812154696132596
AP891205-0196 8:0.35648148148148145 16:0.20833333333333334 5:0.1712962962962963 15:0.09722222222222222 6:0.09722222222222222 11:0.004629629629629629 12:0.004629629629629629 13:0.004629629629629629 14:0.004629629629629629 17:0.004629629629629629 18:0.004629629629629629 19:0.004629629629629629 0:0.004629629629629629 1:0.004629629629629629 2:0.004629629629629629 3:0.004629629629629629 4:0.004629629629629629 7:0.004629629629629629 9:0.004629629629629629 10:0.004629629629629629
AP891206-0011 2:0.4929378531073446 1:0.1483050847457627 15:0.09180790960451977 9:0.05790960451977401 14:0.052259887005649715 10:0.03531073446327684 12:0.029661016949152543 6:0.029661016949152543 13:0.018361581920903956 17:0.012711864406779662 4:0.012711864406779662 3:0.007062146892655367 11:0.0014124293785310734 16:0.0014124293785310734 18:0.0014124293785310734 19:0.0014124293785310734 0:0.0014124293785310734 5:0.0014124293785310734 7:0.0014124293785310734 8:0.0014124293785310734
AP891206-0089 16:0.6646174863387978 15:0.17827868852459017 9:0.09631147540983606 12:0.014344262295081968 1:0.014344262295081968 0:0.006147540983606557 3:0.006147540983606557 5:0.006147540983606557 18:0.0034153005464480873 7:0.0034153005464480873 11:6.830601092896175E-4 13:6.830601092896175E-4 14:6.830601092896175E-4 17:6.830601092896175E-4 19:6.830601092896175E-4 2:6.830601092896175E-4 4:6.830601092896175E-4 6:6.830601092896175E-4 8:6.830601092896175E-4 10:6.830601092896175E-4
