AP890101-0002 8:0.3691646191646192 1:0.20945945945945946 5:0.12837837837837837 16:0.09643734643734644 13:0.0472972972972973 0:0.04484029484029484 2:0.030098280098280097 3:0.025184275184275184 17:0.02027027027027027 7:0.015356265356265357 19:0.005528255528255528 15:0.003071253071253071 11:6.142506142506142E-4 12:6.142506142506142E-4 14:6.142506142506142E-4 18:6.142506142506142E-4 4:6.142506142506142E-4 6:6.142506142506142E-4 9:6.142506142506142E-4 10:6.142506142506142E-4
AP890905-0104 18:0.4762773722627737 3:0.1551094890510949 5:0.1259124087591241 19:0.07481751824817519 6:0.04562043795620438 17:0.03832116788321168 9:0.03102189781021898 2:0.016423357664233577 16:0.009124087591240875 0:0.009124087591240875 11:0.0018248175182481751 12:0.0018248175182481751 13:0.0018248175182481751 14:0.0018248175182481751 15:0.0018248175182481751 1:0.0018248175182481751 4:0.0018248175182481751 7:0.0018248175182481751 8:0.0018248175182481751 10:0.0018248175182481751
AP890905-0178 16:0.2768041237113402 5:0.26237113402061857 0:0.2252577319587629 9:0.08917525773195877 1:0.05 8:0.041752577319587626 3:0.029381443298969072 14:0.010824742268041237 13:0.004639175257731959 12:0.002577319587628866 15:0.002577319587628866 11:5.154639175257732E-4 17:5.154639175257732E-4 18:5.154639175257732E-4 19:5.154639175257732E-4 2:5.154639175257732E-4 4:5.154639175257732E-4 6:5.154639175257732E-4 7:5.154639175257732E-4 10:5.154639175257732E-4
AP890906-0133 8:0.6067708333333334 13:0.0859375 5:0.07552083333333333 6:0.0546875 1:0.033854166666666664 3:0.033854166666666664 17:0.0234375 7:0.0234375 9:0.0234375 2:0.013020833333333334 11:0.0026041666666666665 12:0.0026041666666666665 14:0.0026041666666666665 15:0.0026041666666666665 16:0.0026041666666666665 18:0.0026041666666666665 19:0.0026041666666666665 0:0.0026041666666666665 4:0.0026041666666666665 10:0.0026041666666666665
AP890906-0174 7:0.39832535885167464 3:0.22607655502392343 11:0.18301435406698566 10:0.06339712918660287 15:0.05382775119617225 16:0.034688995215311005 13:0.01076555023923445 12:0.005980861244019139 1:0.005980861244019139 4:0.005980861244019139 14:0.0011961722488038277 17:0.0011961722488038277 18:0.0011961722488038277 19:0.0011961722488038277 0:0.0011961722488038277 2:0.0011961722488038277 5:0.0011961722488038277 6:0.0011961722488038277 8:0.0011961722488038277 9:0.0011961722488038277
AP890907-0128 4:0.2529527559055118 16:0.15846456692913385 3:0.1309055118110236 14:0.11515748031496063 5:0.09153543307086615 19:0.08759842519685039 13:0.060039370078740155 2:0.040354330708661415 12:0.03248031496062992 18:0.008858267716535433 15:0.004921259842519685 17:0.004921259842519685 0:0.004921259842519685 11:9.84251968503937E-4 1:9.84251968503937E-4 6:9.84251968503937E-4 7:9.84251968503937E-4 8:9.84251968503937E-4 9:9.84251968503937E-4 10:9.84251968503937E-4
AP890907-0162 14:0.3273067331670823 17:0.18765586034912718 3:0.1552369077306733 16:0.10536159600997506 11:0.0928927680798005 5:0.040523690773067333 4:0.033042394014962596 19:0.025561097256857856 9:0.01059850374064838 10:0.008104738154613466 18:0.005610972568578554 6:0.003117206982543641 12:6.234413965087282E-4 13:6.234413965087282E-4 15:6.234413965087282E-4 0:6.234413965087282E-4 1:6.234413965087282E-4 2:6.234413965087282E-4 7:6.234413965087282E-4 8:6.234413965087282E-4
AP890907-0200 15:0.32268722466960353 3:0.2786343612334802 12:0.1949339207048458 19:0.09801762114537445 16:0.02753303964757709 17:0.023127753303964757 0:0.023127753303964757 2:0.009911894273127754 13:0.005506607929515419 6:0.005506607929515419 11:0.0011013215859030838 14:0.0011013215859030838 18:0.0011013215859030838 1:0.0011013215859030838 4:0.0011013215859030838 5:0.0011013215859030838 7:0.0011013215859030838 8:0.0011013215859030838 9:0.0011013215859030838 10:0.0011013215859030838
AP890908-0051 15:0.35238907849829354 3:0.2022184300341297 12:0.15784982935153583 19:0.08276450511945392 16:0.05204778156996587 17:0.04522184300341297 7:0.031569965870307165 9:0.017918088737201365 13:0.011092150170648464 0:0.011092150170648464 2:0.011092150170648464 6:0.011092150170648464 4:0.004266211604095563 10:0.004266211604095563 11:8.532423208191126E-4 14:8.532423208191126E-4 18:8.532423208191126E-4 1:8.532423208191126E-4 5:8.532423208191126E-4 8:8.532423208191126E-4
AP890908-0123 18:0.5006868131868132 3:0.20673076923076922 19:0.12431318681318682 16:0.07760989010989011 11:0.025412087912087912 8:0.022664835164835164 5:0.008928571428571428 6:0.008928571428571428 7:0.008928571428571428 0:0.006181318681318681 1:0.003434065934065934 12:6.868131868131869E-4 13:6.868131868131869E-4 14:6.868131868131869E-4 15:6.868131868131869E-4 17:6.868131868131869E-4 2:6.868131868131869E-4 4:6.868131868131869E-4 9:6.868131868131869E-4 10:6.868131868131869E-4
AP890908-0134 15:0.6053719008264463 3:0.11776859504132231 7:0.07644628099173553 4:0.05165289256198347 0:0.026859504132231406 14:0.01859504132231405 17:0.01859504132231405 2:0.01859504132231405 12:0.010330578512396695 13:0.010330578512396695 19:0.010330578512396695 6:0.010330578512396695 9:0.010330578512396695 11:0.002066115702479339 16:0.002066115702479339 18:0.002066115702479339 1:0.002066115702479339 5:0.002066115702479339 8:0.002066115702479339 10:0.002066115702479339
AP890908-0141 11:0.22282608695652173 16:0.20543478260869566 10:0.1923913043478261 4:0.10978260869565218 19:0.075 18:0.07065217391304347 2:0.04021739130434782 5:0.04021739130434782 6:0.014130434782608696 14:0.009782608695652175 7:0.009782608695652175 12:0.0010869565217391304 13:0.0010869565217391304 15:0.0010869565217391304 17:0.0010869565217391304 0:0.0010869565217391304 1:0.0010869565217391304 3:0.0010869565217391304 8:0.0010869565217391304 9:0.0010869565217391304
AP890908-0242 8:0.3773809523809524 19:0.20595238095238094 3:0.17261904761904762 17:0.06785714285714285 13:0.04880952380952381 16:0.039285714285714285 4:0.025 5:0.015476190476190477 7:0.015476190476190477 6:0.010714285714285714 18:0.005952380952380952 1:0.005952380952380952 11:0.0011904761904761906 12:0.0011904761904761906 14:0.0011904761904761906 15:0.0011904761904761906 0:0.0011904761904761906 2:0.0011904761904761906 9:0.0011904761904761906 10:0.0011904761904761906
AP890908-0267 14:0.43436578171091444 16:0.18657817109144542 3:0.14528023598820058 6:0.0715339233038348 8:0.03908554572271387 17:0.036135693215339236 19:0.021386430678466076 1:0.018436578171091445 5:0.018436578171091445 18:0.012536873156342183 10:0.00663716814159292 0:0.003687315634218289 11:7.374631268436578E-4 12:7.374631268436578E-4 13:7.374631268436578E-4 15:7.374631268436578E-4 2:7.374631268436578E-4 4:7.374631268436578E-4 7:7.374631268436578E-4 9:7.374631268436578E-4
AP890909-0047 15:0.3239130434782609 18:0.18478260869565216 16:0.15869565217391304 2:0.13260869565217392 11:0.06304347826086956 7:0.05434782608695652 19:0.03695652173913044 17:0.010869565217391304 0:0.010869565217391304 12:0.002173913043478261 13:0.002173913043478261 14:0.002173913043478261 1:0.002173913043478261 3:0.002173913043478261 4:0.002173913043478261 5:0.002173913043478261 6:0.002173913043478261 8:0.002173913043478261 9:0.002173913043478261 10:0.002173913043478261
AP890910-0087 8:0.35630841121495327 3:0.19742990654205608 19:0.18341121495327103 4:0.08995327102803738 16:0.0852803738317757 13:0.03387850467289719 17:0.01985981308411215 11:0.005841121495327103 15:0.005841121495327103 18:0.005841121495327103 5:0.005841121495327103 12:0.0011682242990654205 14:0.0011682242990654205 0:0.0011682242990654205 1:0.0011682242990654205 2:0.0011682242990654205 6:0.0011682242990654205 7:0.0011682242990654205 9:0.0011682242990654205 10:0.0011682242990654205
AP890911-0023 19:0.40015243902439024 3:0.21417682926829268 16:0.15625 17:0.04954268292682927 0:0.03429878048780488 14:0.028201219512195123 13:0.025152439024390245 2:0.025152439024390245 1:0.01600609756097561 12:0.012957317073170731 11:0.009908536585365854 9:0.009908536585365854 18:0.006859756097560976 4:0.0038109756097560975 8:0.0038109756097560975 15:7.621951219512195E-4 5:7.621951219512195E-4 6:7.621951219512195E-4 7:7.621951219512195E-4 10:7.621951219512195E-4
AP890911-0273 8:0.237551867219917 7:0.20435684647302904 17:0.1628630705394191 3:0.09232365145228216 5:0.08402489626556017 16:0.07572614107883817 12:0.05912863070539419 9:0.04253112033195021 6:0.017634854771784232 1:0.00933609958506224 14:0.005186721991701245 11:0.001037344398340249 13:0.001037344398340249 15:0.001037344398340249 18:0.001037344398340249 19:0.001037344398340249 0:0.001037344398340249 2:0.001037344398340249 4:0.001037344398340249 10:0.001037344398340249
AP890912-0246 17:0.4723360655737705 14:0.12807377049180327 3:0.11987704918032786 16:0.08299180327868852 8:0.0584016393442623 4:0.03790983606557377 9:0.03790983606557377 11:0.02151639344262295 7:0.01331967213114754 18:0.009221311475409836 5:0.005122950819672131 10:0.005122950819672131 12:0.0010245901639344263 13:0.0010245901639344263 15:0.0010245901639344263 19:0.0010245901639344263 0:0.0010245901639344263 1:0.0010245901639344263 2:0.0010245901639344263 6:0.0010245901639344263
AP890912-0252 9:0.3407258064516129 8:0.21169354838709678 17:0.19556451612903225 3:0.05040322580645161 16:0.034274193548387094 13:0.02620967741935484 1:0.02620967741935484 14:0.018145161290322582 18:0.018145161290322582 0:0.018145161290322582 2:0.018145161290322582 5:0.018145161290322582 7:0.010080645161290322 11:0.0020161290322580645 12:0.0020161290322580645 15:0.0020161290322580645 19:0.0020161290322580645 4:0.0020161290322580645 6:0.0020161290322580645 10:0.0020161290322580645
AP890912-0254 17:0.9120689655172414 12:0.03620689655172414 14:0.015517241379310345 19:0.008620689655172414 11:0.0017241379310344827 13:0.0017241379310344827 15:0.0017241379310344827 16:0.0017241379310344827 18:0.0017241379310344827 0:0.0017241379310344827 1:0.0017241379310344827 2:0.0017241379310344827 3:0.0017241379310344827 4:0.0017241379310344827 5:0.0017241379310344827 6:0.0017241379310344827 7:0.0017241379310344827 8:0.0017241379310344827 9:0.0017241379310344827 10:0.0017241379310344827
AP890912-0258 17:0.9315286624203821 14:0.03343949044585987 11:0.007961783439490446 12:0.0015923566878980893 13:0.0015923566878980893 15:0.0015923566878980893 16:0.0015923566878980893 18:0.0015923566878980893 19:0.0015923566878980893 0:0.0015923566878980893 1:0.0015923566878980893 2:0.0015923566878980893 3:0.0015923566878980893 4:0.0015923566878980893 5:0.0015923566878980893 6:0.0015923566878980893 7:0.0015923566878980893 8:0.0015923566878980893 9:0.0015923566878980893 10:0.0015923566878980893
AP890912-0260 17:0.9140625 14:0.0453125 15:0.0078125 9:0.0078125 11:0.0015625 12:0.0015625 13:0.0015625 16:0.0015625 18:0.0015625 19:0.0015625 0:0.0015625 1:0.0015625 2:0.0015625 3:0.0015625 4:0.0015625 5:0.0015625 6:0.0015625 7:0.0015625 8:0.0015625 10:0.0015625
AP890912-0269 9:0.5646551724137931 8:0.23132183908045978 17:0.05890804597701149 16:0.035919540229885055 1:0.035919540229885055 18:0.02442528735632184 5:0.01293103448275862 14:0.007183908045977011 4:0.007183908045977011 10:0.007183908045977011 11:0.0014367816091954023 12:0.0014367816091954023 13:0.0014367816091954023 15:0.0014367816091954023 19:0.0014367816091954023 0:0.0014367816091954023 2:0.0014367816091954023 3:0.0014367816091954023 6:0.0014367816091954023 7:0.0014367816091954023
AP890912-0272 17:0.6868231046931408 8:0.07671480144404332 3:0.06588447653429604 14:0.029783393501805054 16:0.026173285198555957 18:0.026173285198555957 9:0.026173285198555957 2:0.02256317689530686 15:0.011732851985559567 12:0.008122743682310469 13:0.004512635379061372 0:0.004512635379061372 4:0.004512635379061372 11:9.025270758122744E-4 19:9.025270758122744E-4 1:9.025270758122744E-4 5:9.025270758122744E-4 6:9.025270758122744E-4 7:9.025270758122744E-4 10:9.025270758122744E-4
AP890912-0276 8:0.4410569105691057 14:0.18089430894308944 11:0.08333333333333333 9:0.08333333333333333 1:0.06707317073170732 17:0.05894308943089431 6:0.034552845528455285 5:0.018292682926829267 13:0.01016260162601626 12:0.0020325203252032522 15:0.0020325203252032522 16:0.0020325203252032522 18:0.0020325203252032522 19:0.0020325203252032522 0:0.0020325203252032522 2:0.0020325203252032522 3:0.0020325203252032522 4:0.0020325203252032522 7:0.0020325203252032522 10:0.0020325203252032522
AP890913-0075 2:0.42782426778242677 16:0.25627615062761505 14:0.04288702928870293 4:0.04288702928870293 3:0.038702928870292884 13:0.034518828451882845 18:0.034518828451882845 1:0.034518828451882845 11:0.021966527196652718 0:0.021966527196652718 5:0.021966527196652718 6:0.005230125523012552 8:0.005230125523012552 10:0.005230125523012552 12:0.0010460251046025104 15:0.0010460251046025104 17:0.0010460251046025104 19:0.0010460251046025104 7:0.0010460251046025104 9:0.0010460251046025104
AP890913-0257 13:0.7520161290322581 16:0.05846774193548387 8:0.05846774193548387 1:0.04233870967741935 3:0.02620967741935484 17:0.018145161290322582 18:0.018145161290322582 11:0.0020161290322580645 12:0.0020161290322580645 14:0.0020161290322580645 15:0.0020161290322580645 19:0.0020161290322580645 0:0.0020161290322580645 2:0.0020161290322580645 4:0.0020161290322580645 5:0.0020161290322580645 6:0.0020161290322580645 7:0.0020161290322580645 9:0.0020161290322580645 10:0.0020161290322580645
AP890914-0034 4:0.2652439024390244 16:0.21646341463414634 7:0.12296747967479675 13:0.08231707317073171 1:0.0701219512195122 18:0.061991869918699184 17:0.05386178861788618 3:0.03353658536585366 9:0.029471544715447155 5:0.02540650406504065 2:0.021341463414634148 12:0.00508130081300813 0:0.00508130081300813 11:0.0010162601626016261 14:0.0010162601626016261 15:0.0010162601626016261 19:0.0010162601626016261 6:0.0010162601626016261 8:0.0010162601626016261 10:0.0010162601626016261
AP890914-0131 19:0.5317982456140351 3:0.11951754385964912 4:0.10197368421052631 16:0.0668859649122807 15:0.0537280701754386 8:0.03618421052631579 18:0.03179824561403509 7:0.027412280701754384 11:0.009868421052631578 5:0.009868421052631578 12:0.0010964912280701754 13:0.0010964912280701754 14:0.0010964912280701754 17:0.0010964912280701754 0:0.0010964912280701754 1:0.0010964912280701754 2:0.0010964912280701754 6:0.0010964912280701754 9:0.0010964912280701754 10:0.0010964912280701754
AP890914-0270 14:0.5741106719367589 3:0.13142292490118576 17:0.0800395256916996 7:0.04841897233201581 8:0.044466403162055336 10:0.040513833992094864 12:0.020750988142292492 0:0.020750988142292492 5:0.012845849802371542 16:0.008893280632411068 11:0.004940711462450593 13:0.004940711462450593 15:9.881422924901185E-4 18:9.881422924901185E-4 19:9.881422924901185E-4 1:9.881422924901185E-4 2:9.881422924901185E-4 4:9.881422924901185E-4 6:9.881422924901185E-4 9:9.881422924901185E-4
AP890914-0284 14:0.2459349593495935 19:0.18902439024390244 3:0.1483739837398374 8:0.09959349593495935 7:0.09146341463414634 17:0.06707317073170732 0:0.05894308943089431 16:0.034552845528455285 5:0.018292682926829267 10:0.018292682926829267 2:0.01016260162601626 11:0.0020325203252032522 12:0.0020325203252032522 13:0.0020325203252032522 15:0.0020325203252032522 18:0.0020325203252032522 1:0.0020325203252032522 4:0.0020325203252032522 6:0.0020325203252032522 9:0.0020325203252032522
AP890915-0152 3:0.3587662337662338 13:0.3068181818181818 1:0.17045454545454544 19:0.08603896103896104 17:0.021103896103896104 0:0.01461038961038961 8:0.01461038961038961 12:0.008116883116883116 11:0.0016233766233766235 14:0.0016233766233766235 15:0.0016233766233766235 16:0.0016233766233766235 18:0.0016233766233766235 2:0.0016233766233766235 4:0.0016233766233766235 5:0.0016233766233766235 6:0.0016233766233766235 7:0.0016233766233766235 9:0.0016233766233766235 10:0.0016233766233766235
AP890916-0017 3:0.4529569892473118 11:0.15725806451612903 13:0.10887096774193548 14:0.09811827956989247 16:0.08198924731182795 19:0.038978494623655914 5:0.028225806451612902 12:0.006720430107526882 17:0.006720430107526882 18:0.006720430107526882 15:0.0013440860215053765 0:0.0013440860215053765 1:0.0013440860215053765 2:0.0013440860215053765 4:0.0013440860215053765 6:0.0013440860215053765 7:0.0013440860215053765 8:0.0013440860215053765 9:0.0013440860215053765 10:0.0013440860215053765
AP890916-0127 18:0.22574626865671643 15:0.20335820895522388 4:0.13619402985074627 3:0.11380597014925373 19:0.10634328358208955 16:0.04664179104477612 17:0.04664179104477612 12:0.03917910447761194 2:0.03171641791044776 6:0.016791044776119403 11:0.009328358208955223 10:0.009328358208955223 13:0.0018656716417910447 14:0.0018656716417910447 0:0.0018656716417910447 1:0.0018656716417910447 5:0.0018656716417910447 7:0.0018656716417910447 8:0.0018656716417910447 9:0.0018656716417910447
AP890917-0076 12:0.49870466321243523 15:0.16191709844559585 3:0.13082901554404144 16:0.07901554404145078 2:0.07383419689119171 4:0.01683937823834197 6:0.01683937823834197 1:0.006476683937823834 11:0.0012953367875647669 13:0.0012953367875647669 14:0.0012953367875647669 17:0.0012953367875647669 18:0.0012953367875647669 19:0.0012953367875647669 0:0.0012953367875647669 5:0.0012953367875647669 7:0.0012953367875647669 8:0.0012953367875647669 9:0.0012953367875647669 10:0.0012953367875647669
AP890917-0084 8:0.461283185840708 0:0.13827433628318583 1:0.09845132743362832 12:0.09402654867256637 9:0.0586283185840708 7:0.05420353982300885 3:0.049778761061946904 13:0.018805309734513276 19:0.00995575221238938 18:0.0055309734513274336 11:0.0011061946902654867 14:0.0011061946902654867 15:0.0011061946902654867 16:0.0011061946902654867 17:0.0011061946902654867 2:0.0011061946902654867 4:0.0011061946902654867 5:0.0011061946902654867 6:0.0011061946902654867 10:0.0011061946902654867
AP890918-0037 15:0.48404255319148937 10:0.19326241134751773 16:0.0797872340425532 2:0.0726950354609929 12:0.051418439716312055 18:0.03723404255319149 8:0.02304964539007092 11:0.008865248226950355 1:0.008865248226950355 6:0.008865248226950355 7:0.008865248226950355 9:0.008865248226950355 13:0.0017730496453900709 14:0.0017730496453900709 17:0.0017730496453900709 19:0.0017730496453900709 0:0.0017730496453900709 3:0.0017730496453900709 4:0.0017730496453900709 5:0.0017730496453900709
AP890919-0211 13:0.579971181556196 8:0.1419308357348703 16:0.10734870317002881 1:0.04971181556195965 3:0.03818443804034582 5:0.029538904899135448 14:0.009365994236311239 6:0.009365994236311239 17:0.006484149855907781 19:0.006484149855907781 10:0.006484149855907781 12:0.0036023054755043226 18:0.0036023054755043226 0:0.0036023054755043226 11:7.204610951008645E-4 15:7.204610951008645E-4 2:7.204610951008645E-4 4:7.204610951008645E-4 7:7.204610951008645E-4 9:7.204610951008645E-4
AP890919-0224 8:0.49488304093567254 16:0.12353801169590643 1:0.10014619883040936 9:0.09137426900584796 17:0.08552631578947369 3:0.056286549707602336 10:0.01827485380116959 14:0.009502923976608187 13:0.006578947368421052 11:0.003654970760233918 5:0.003654970760233918 12:7.309941520467836E-4 15:7.309941520467836E-4 18:7.309941520467836E-4 19:7.309941520467836E-4 0:7.309941520467836E-4 2:7.309941520467836E-4 4:7.309941520467836E-4 6:7.309941520467836E-4 7:7.309941520467836E-4
AP890920-0123 5:0.31841216216216217 8:0.19679054054054054 13:0.10219594594594594 3:0.09881756756756757 19:0.06503378378378379 9:0.044763513513513514 1:0.041385135135135136 16:0.03125 17:0.02787162162162162 0:0.02787162162162162 7:0.024493243243243243 11:0.007601351351351352 6:0.007601351351351352 12:8.445945945945946E-4 14:8.445945945945946E-4 15:8.445945945945946E-4 18:8.445945945945946E-4 2:8.445945945945946E-4 4:8.445945945945946E-4 10:8.445945945945946E-4
AP890920-0281 9:0.6352611940298507 8:0.10914179104477612 16:0.07182835820895522 1:0.049440298507462684 3:0.03824626865671642 17:0.030783582089552237 19:0.01585820895522388 5:0.012126865671641791 14:0.008395522388059701 11:0.0046641791044776115 12:0.0046641791044776115 18:0.0046641791044776115 4:0.0046641791044776115 6:0.0046641791044776115 13:9.328358208955224E-4 15:9.328358208955224E-4 0:9.328358208955224E-4 2:9.328358208955224E-4 7:9.328358208955224E-4 10:9.328358208955224E-4
AP890921-0006 6:0.36160714285714285 18:0.2544642857142857 16:0.20089285714285715 13:0.05803571428571429 7:0.04017857142857143 4:0.022321428571428572 11:0.004464285714285714 12:0.004464285714285714 14:0.004464285714285714 15:0.004464285714285714 17:0.004464285714285714 19:0.004464285714285714 0:0.004464285714285714 1:0.004464285714285714 2:0.004464285714285714 3:0.004464285714285714 5:0.004464285714285714 8:0.004464285714285714 9:0.004464285714285714 10:0.004464285714285714
AP890921-0089 19:0.33585858585858586 10:0.24494949494949494 3:0.11363636363636363 16:0.10353535353535354 11:0.07323232323232323 5:0.04292929292929293 17:0.03282828282828283 14:0.012626262626262626 0:0.012626262626262626 12:0.0025252525252525255 13:0.0025252525252525255 15:0.0025252525252525255 18:0.0025252525252525255 1:0.0025252525252525255 2:0.0025252525252525255 4:0.0025252525252525255 6:0.0025252525252525255 7:0.0025252525252525255 8:0.0025252525252525255 9:0.0025252525252525255
AP890921-0131 12:0.5127952755905512 15:0.24507874015748032 11:0.0718503937007874 3:0.06791338582677166 19:0.028543307086614175 13:0.01673228346456693 16:0.01673228346456693 1:0.008858267716535433 18:0.004921259842519685 0:0.004921259842519685 2:0.004921259842519685 5:0.004921259842519685 6:0.004921259842519685 14:9.84251968503937E-4 17:9.84251968503937E-4 4:9.84251968503937E-4 7:9.84251968503937E-4 8:9.84251968503937E-4 9:9.84251968503937E-4 10:9.84251968503937E-4
AP890921-0231 9:0.3980496453900709 8:0.17109929078014185 17:0.1320921985815603 1:0.10017730496453901 16:0.09663120567375887 3:0.07180851063829788 19:0.007978723404255319 13:0.004432624113475178 4:0.004432624113475178 10:0.004432624113475178 11:8.865248226950354E-4 12:8.865248226950354E-4 14:8.865248226950354E-4 15:8.865248226950354E-4 18:8.865248226950354E-4 0:8.865248226950354E-4 2:8.865248226950354E-4 5:8.865248226950354E-4 6:8.865248226950354E-4 7:8.865248226950354E-4
AP890921-0259 8:0.6033333333333334 17:0.17666666666666667 12:0.056666666666666664 6:0.043333333333333335 18:0.03 3:0.016666666666666666 7:0.016666666666666666 10:0.016666666666666666 11:0.0033333333333333335 13:0.0033333333333333335 14:0.0033333333333333335 15:0.0033333333333333335 16:0.0033333333333333335 19:0.0033333333333333335 0:0.0033333333333333335 1:0.0033333333333333335 2:0.0033333333333333335 4:0.0033333333333333335 5:0.0033333333333333335 9:0.0033333333333333335
AP890924-0025 15:0.39339622641509436 7:0.17452830188679244 16:0.14433962264150943 3:0.09905660377358491 2:0.06509433962264151 6:0.038679245283018866 5:0.03490566037735849 12:0.016037735849056604 8:0.012264150943396227 4:0.008490566037735849 17:0.0047169811320754715 11:9.433962264150943E-4 13:9.433962264150943E-4 14:9.433962264150943E-4 18:9.433962264150943E-4 19:9.433962264150943E-4 0:9.433962264150943E-4 1:9.433962264150943E-4 9:9.433962264150943E-4 10:9.433962264150943E-4
AP890924-0047 4:0.5817972350230415 11:0.25460829493087556 18:0.04262672811059908 19:0.04262672811059908 17:0.03341013824884793 5:0.014976958525345621 3:0.010368663594470046 6:0.00576036866359447 12:0.001152073732718894 13:0.001152073732718894 14:0.001152073732718894 15:0.001152073732718894 16:0.001152073732718894 0:0.001152073732718894 1:0.001152073732718894 2:0.001152073732718894 7:0.001152073732718894 8:0.001152073732718894 9:0.001152073732718894 10:0.001152073732718894
AP890925-0032 4:0.2941666666666667 19:0.1875 3:0.1375 11:0.10416666666666667 17:0.0775 16:0.04416666666666667 14:0.04083333333333333 15:0.030833333333333334 5:0.024166666666666666 18:0.020833333333333332 1:0.010833333333333334 13:0.0075 9:0.0075 6:0.004166666666666667 10:0.004166666666666667 12:8.333333333333334E-4 0:8.333333333333334E-4 2:8.333333333333334E-4 7:8.333333333333334E-4 8:8.333333333333334E-4
AP890925-0106 7:0.22252747252747251 10:0.20054945054945056 11:0.18956043956043955 12:0.1565934065934066 16:0.06868131868131869 17:0.046703296703296704 18:0.046703296703296704 0:0.013736263736263736 1:0.013736263736263736 9:0.013736263736263736 13:0.0027472527472527475 14:0.0027472527472527475 15:0.0027472527472527475 19:0.0027472527472527475 2:0.0027472527472527475 3:0.0027472527472527475 4:0.0027472527472527475 5:0.0027472527472527475 6:0.0027472527472527475 8:0.0027472527472527475
AP890925-0183 18:0.29375 2:0.22708333333333333 16:0.20208333333333334 3:0.11041666666666666 4:0.052083333333333336 17:0.04375 12:0.01875 14:0.010416666666666666 19:0.010416666666666666 7:0.010416666666666666 11:0.0020833333333333333 13:0.0020833333333333333 15:0.0020833333333333333 0:0.0020833333333333333 1:0.0020833333333333333 5:0.0020833333333333333 6:0.0020833333333333333 8:0.0020833333333333333 9:0.0020833333333333333 10:0.0020833333333333333
AP890925-0299 9:0.22927461139896374 1:0.22409326424870465 3:0.1878238341968912 11:0.16191709844559585 17:0.05829015544041451 10:0.04792746113989637 8:0.03238341968911917 14:0.027202072538860103 12:0.006476683937823834 19:0.006476683937823834 6:0.006476683937823834 13:0.0012953367875647669 15:0.0012953367875647669 16:0.0012953367875647669 18:0.0012953367875647669 0:0.0012953367875647669 2:0.0012953367875647669 4:0.0012953367875647669 5:0.0012953367875647669 7:0.0012953367875647669
AP890926-0001 19:0.5388257575757576 3:0.11837121212121213 16:0.11079545454545454 17:0.09943181818181818 18:0.03125 1:0.03125 10:0.03125 9:0.019886363636363636 4:0.004734848484848485 7:0.004734848484848485 11:9.46969696969697E-4 12:9.46969696969697E-4 13:9.46969696969697E-4 14:9.46969696969697E-4 15:9.46969696969697E-4 0:9.46969696969697E-4 2:9.46969696969697E-4 5:9.46969696969697E-4 6:9.46969696969697E-4 8:9.46969696969697E-4
AP890926-0264 8:0.5801435406698564 9:0.23564593301435408 16:0.06818181818181818 1:0.05382775119617225 3:0.029904306220095694 18:0.005980861244019139 19:0.005980861244019139 0:0.005980861244019139 11:0.0011961722488038277 12:0.0011961722488038277 13:0.0011961722488038277 14:0.0011961722488038277 15:0.0011961722488038277 17:0.0011961722488038277 2:0.0011961722488038277 4:0.0011961722488038277 5:0.0011961722488038277 6:0.0011961722488038277 7:0.0011961722488038277 10:0.0011961722488038277
AP890927-0008 0:0.842 3:0.034 8:0.034 5:0.018 6:0.018 16:0.01 1:0.01 4:0.01 11:0.002 12:0.002 13:0.002 14:0.002 15:0.002 17:0.002 18:0.002 19:0.002 2:0.002 7:0.002 9:0.002 10:0.002
AP890927-0014 12:0.38858695652173914 2:0.17119565217391305 15:0.15307971014492755 3:0.11684782608695653 16:0.0661231884057971 14:0.022644927536231884 8:0.019021739130434784 4:0.015398550724637682 19:0.01177536231884058 6:0.008152173913043478 7:0.008152173913043478 18:0.004528985507246377 0:0.004528985507246377 9:0.004528985507246377 11:9.057971014492754E-4 13:9.057971014492754E-4 17:9.057971014492754E-4 1:9.057971014492754E-4 5:9.057971014492754E-4 10:9.057971014492754E-4
AP890927-0064 6:0.4856828193832599 11:0.30947136563876654 16:0.06277533039647577 18:0.05837004405286344 14:0.03634361233480176 10:0.031938325991189426 12:0.0011013215859030838 13:0.0011013215859030838 15:0.0011013215859030838 17:0.0011013215859030838 19:0.0011013215859030838 0:0.0011013215859030838 1:0.0011013215859030838 2:0.0011013215859030838 3:0.0011013215859030838 4:0.0011013215859030838 5:0.0011013215859030838 7:0.0011013215859030838 8:0.0011013215859030838 9:0.0011013215859030838
AP890927-0227 10:0.41435643564356434 11:0.26584158415841586 16:0.12722772277227723 3:0.10742574257425742 1:0.026237623762376237 5:0.024257425742574258 19:0.016336633663366337 17:0.0024752475247524753 0:0.0024752475247524753 4:0.0024752475247524753 7:0.0024752475247524753 8:0.0024752475247524753 9:0.0024752475247524753 12:4.950495049504951E-4 13:4.950495049504951E-4 14:4.950495049504951E-4 15:4.950495049504951E-4 18:4.950495049504951E-4 2:4.950495049504951E-4 6:4.950495049504951E-4
