AP890102-0099 1:0.4438622754491018 3:0.21332335329341318 9:0.14146706586826346 12:0.04266467065868264 15:0.027694610778443114 14:0.02470059880239521 10:0.02470059880239521 13:0.015718562874251496 2:0.012724550898203593 6:0.012724550898203593 19:0.009730538922155689 8:0.009730538922155689 16:0.006736526946107785 5:0.006736526946107785 0:0.0037425149700598802 11:7.485029940119761E-4 17:7.485029940119761E-4 18:7.485029940119761E-4 4:7.485029940119761E-4 7:7.485029940119761E-4
AP891103-0125 18:0.5096726190476191 1:0.16145833333333334 10:0.0900297619047619 9:0.08705357142857142 3:0.0662202380952381 17:0.027529761904761904 19:0.018601190476190476 8:0.018601190476190476 2:0.006696428571428571 16:0.003720238095238095 6:0.003720238095238095 11:7.44047619047619E-4 12:7.44047619047619E-4 13:7.44047619047619E-4 14:7.44047619047619E-4 15:7.44047619047619E-4 0:7.44047619047619E-4 4:7.44047619047619E-4 5:7.44047619047619E-4 7:7.44047619047619E-4
AP891105-0104 4:0.43274111675126903 11:0.11802030456852793 9:0.11802030456852793 13:0.09771573604060914 6:0.09771573604060914 10:0.046954314720812185 3:0.021573604060913704 12:0.01649746192893401 0:0.01649746192893401 17:0.011421319796954314 7:0.011421319796954314 14:0.0012690355329949238 15:0.0012690355329949238 16:0.0012690355329949238 18:0.0012690355329949238 19:0.0012690355329949238 1:0.0012690355329949238 2:0.0012690355329949238 5:0.0012690355329949238 8:0.0012690355329949238
AP891106-0256 14:0.910377358490566 11:0.0047169811320754715 12:0.0047169811320754715 13:0.0047169811320754715 15:0.0047169811320754715 16:0.0047169811320754715 17:0.0047169811320754715 18:0.0047169811320754715 19:0.0047169811320754715 0:0.0047169811320754715 1:0.0047169811320754715 2:0.0047169811320754715 3:0.0047169811320754715 4:0.0047169811320754715 5:0.0047169811320754715 6:0.0047169811320754715 7:0.0047169811320754715 8:0.0047169811320754715 9:0.0047169811320754715 10:0.0047169811320754715
AP891107-0007 15:0.49318181818181817 18:0.22045454545454546 3:0.08409090909090909 6:0.0659090909090909 9:0.04772727272727273 12:0.029545454545454545 0:0.020454545454545454 16:0.011363636363636364 11:0.0022727272727272726 13:0.0022727272727272726 14:0.0022727272727272726 17:0.0022727272727272726 19:0.0022727272727272726 1:0.0022727272727272726 2:0.0022727272727272726 4:0.0022727272727272726 5:0.0022727272727272726 7:0.0022727272727272726 8:0.0022727272727272726 10:0.0022727272727272726
AP891108-0176 2:0.4153386454183267 14:0.2958167330677291 9:0.24800796812749004 16:0.012948207171314742 17:0.008964143426294821 11:0.0049800796812749 12:9.9601593625498E-4 13:9.9601593625498E-4 15:9.9601593625498E-4 18:9.9601593625498E-4 19:9.9601593625498E-4 0:9.9601593625498E-4 1:9.9601593625498E-4 3:9.9601593625498E-4 4:9.9601593625498E-4 5:9.9601593625498E-4 6:9.9601593625498E-4 7:9.9601593625498E-4 8:9.9601593625498E-4 10:9.9601593625498E-4
AP891108-0285 5:0.4454177897574124 11:0.28369272237196763 9:0.0545822102425876 16:0.05188679245283019 3:0.05188679245283019 12:0.04380053908355795 1:0.027628032345013476 4:0.01954177897574124 0:0.011455525606469003 13:0.0033692722371967657 14:6.738544474393531E-4 15:6.738544474393531E-4 17:6.738544474393531E-4 18:6.738544474393531E-4 19:6.738544474393531E-4 2:6.738544474393531E-4 6:6.738544474393531E-4 7:6.738544474393531E-4 8:6.738544474393531E-4 10:6.738544474393531E-4
AP891109-0005 19:0.2855960264900662 3:0.19288079470198677 5:0.1498344370860927 11:0.13327814569536423 0:0.04718543046357616 14:0.04056291390728477 12:0.030629139072847682 1:0.020695364238410598 2:0.020695364238410598 9:0.020695364238410598 7:0.0173841059602649 8:0.014072847682119206 15:0.01076158940397351 18:0.01076158940397351 13:8.278145695364238E-4 16:8.278145695364238E-4 17:8.278145695364238E-4 4:8.278145695364238E-4 6:8.278145695364238E-4 10:8.278145695364238E-4
AP891109-0039 14:0.4088235294117647 9:0.2676470588235294 2:0.2323529411764706 3:0.03627450980392157 4:0.016666666666666666 13:0.008823529411764706 7:0.008823529411764706 11:0.004901960784313725 19:0.004901960784313725 12:9.80392156862745E-4 15:9.80392156862745E-4 16:9.80392156862745E-4 17:9.80392156862745E-4 18:9.80392156862745E-4 0:9.80392156862745E-4 1:9.80392156862745E-4 5:9.80392156862745E-4 6:9.80392156862745E-4 8:9.80392156862745E-4 10:9.80392156862745E-4
AP891109-0075 8:0.36333333333333334 3:0.25666666666666665 15:0.17666666666666667 19:0.043333333333333335 14:0.03 17:0.03 18:0.03 0:0.016666666666666666 1:0.016666666666666666 11:0.0033333333333333335 12:0.0033333333333333335 13:0.0033333333333333335 16:0.0033333333333333335 2:0.0033333333333333335 4:0.0033333333333333335 5:0.0033333333333333335 6:0.0033333333333333335 7:0.0033333333333333335 9:0.0033333333333333335 10:0.0033333333333333335
AP891109-0092 6:0.5427927927927928 4:0.12837837837837837 19:0.09234234234234234 15:0.05630630630630631 3:0.038288288288288286 16:0.02927927927927928 9:0.02927927927927928 12:0.02027027027027027 18:0.01126126126126126 0:0.01126126126126126 7:0.01126126126126126 8:0.01126126126126126 11:0.0022522522522522522 13:0.0022522522522522522 14:0.0022522522522522522 17:0.0022522522522522522 1:0.0022522522522522522 2:0.0022522522522522522 5:0.0022522522522522522 10:0.0022522522522522522
AP891109-0157 14:0.5203862660944206 9:0.2628755364806867 2:0.15128755364806867 3:0.02682403433476395 18:0.013948497854077254 13:0.00536480686695279 17:0.00536480686695279 11:0.001072961373390558 12:0.001072961373390558 15:0.001072961373390558 16:0.001072961373390558 19:0.001072961373390558 0:0.001072961373390558 1:0.001072961373390558 4:0.001072961373390558 5:0.001072961373390558 6:0.001072961373390558 7:0.001072961373390558 8:0.001072961373390558 10:0.001072961373390558
AP891109-0187 7:0.29 9:0.29 13:0.13 2:0.09923076923076923 3:0.04692307692307692 19:0.02846153846153846 17:0.022307692307692306 0:0.022307692307692306 4:0.019230769230769232 16:0.013076923076923076 14:0.006923076923076923 6:0.006923076923076923 8:0.006923076923076923 10:0.006923076923076923 11:0.0038461538461538464 5:0.0038461538461538464 12:7.692307692307692E-4 15:7.692307692307692E-4 18:7.692307692307692E-4 1:7.692307692307692E-4
AP891109-0196 0:0.5534274193548387 9:0.31955645161290325 10:0.0655241935483871 3:0.021169354838709676 14:0.017137096774193547 16:0.005040322580645161 5:0.005040322580645161 11:0.0010080645161290322 12:0.0010080645161290322 13:0.0010080645161290322 15:0.0010080645161290322 17:0.0010080645161290322 18:0.0010080645161290322 19:0.0010080645161290322 1:0.0010080645161290322 2:0.0010080645161290322 4:0.0010080645161290322 6:0.0010080645161290322 7:0.0010080645161290322 8:0.0010080645161290322
AP891109-0247 8:0.4171388101983003 3:0.3321529745042493 1:0.08569405099150142 9:0.04603399433427762 16:0.04320113314447592 6:0.020538243626062325 19:0.017705382436260624 15:0.009206798866855524 18:0.009206798866855524 13:0.006373937677053824 10:0.006373937677053824 11:7.08215297450425E-4 12:7.08215297450425E-4 14:7.08215297450425E-4 17:7.08215297450425E-4 0:7.08215297450425E-4 2:7.08215297450425E-4 4:7.08215297450425E-4 5:7.08215297450425E-4 7:7.08215297450425E-4
AP891109-0292 14:0.928030303030303 11:0.003787878787878788 12:0.003787878787878788 13:0.003787878787878788 15:0.003787878787878788 16:0.003787878787878788 17:0.003787878787878788 18:0.003787878787878788 19:0.003787878787878788 0:0.003787878787878788 1:0.003787878787878788 2:0.003787878787878788 3:0.003787878787878788 4:0.003787878787878788 5:0.003787878787878788 6:0.003787878787878788 7:0.003787878787878788 8:0.003787878787878788 9:0.003787878787878788 10:0.003787878787878788
AP891110-0088 17:0.5225490196078432 18:0.1696078431372549 9:0.15784313725490196 3:0.06764705882352941 7:0.024509803921568627 14:0.016666666666666666 2:0.008823529411764706 6:0.008823529411764706 19:0.004901960784313725 5:0.004901960784313725 10:0.004901960784313725 11:9.80392156862745E-4 12:9.80392156862745E-4 13:9.80392156862745E-4 15:9.80392156862745E-4 16:9.80392156862745E-4 0:9.80392156862745E-4 1:9.80392156862745E-4 4:9.80392156862745E-4 8:9.80392156862745E-4
AP891110-0208 5:0.47015915119363394 11:0.21286472148541113 0:0.09615384615384616 3:0.09084880636604775 9:0.05106100795755968 10:0.03249336870026525 6:0.008620689655172414 19:0.005968169761273209 1:0.005968169761273209 8:0.005968169761273209 12:0.0033156498673740055 14:0.0033156498673740055 15:0.0033156498673740055 18:0.0033156498673740055 2:0.0033156498673740055 13:6.63129973474801E-4 16:6.63129973474801E-4 17:6.63129973474801E-4 4:6.63129973474801E-4 7:6.63129973474801E-4
AP891110-0213 5:0.49024822695035464 11:0.19237588652482268 9:0.1675531914893617 4:0.054078014184397165 0:0.04343971631205674 3:0.018617021276595744 14:0.007978723404255319 16:0.004432624113475178 18:0.004432624113475178 1:0.004432624113475178 2:0.004432624113475178 12:8.865248226950354E-4 13:8.865248226950354E-4 15:8.865248226950354E-4 17:8.865248226950354E-4 19:8.865248226950354E-4 6:8.865248226950354E-4 7:8.865248226950354E-4 8:8.865248226950354E-4 10:8.865248226950354E-4
AP891111-0123 17:0.5206093189964157 9:0.14068100358422939 3:0.08691756272401434 18:0.06899641577060932 7:0.04390681003584229 15:0.04032258064516129 2:0.036738351254480286 14:0.025985663082437275 11:0.022401433691756272 12:0.004480286738351254 13:8.960573476702509E-4 16:8.960573476702509E-4 19:8.960573476702509E-4 0:8.960573476702509E-4 1:8.960573476702509E-4 4:8.960573476702509E-4 5:8.960573476702509E-4 6:8.960573476702509E-4 8:8.960573476702509E-4 10:8.960573476702509E-4
AP891113-0254 6:0.5220588235294118 11:0.11029411764705882 7:0.08088235294117647 13:0.061274509803921566 16:0.061274509803921566 9:0.051470588235294115 3:0.041666666666666664 12:0.012254901960784314 0:0.012254901960784314 2:0.012254901960784314 8:0.012254901960784314 14:0.0024509803921568627 15:0.0024509803921568627 17:0.0024509803921568627 18:0.0024509803921568627 19:0.0024509803921568627 1:0.0024509803921568627 4:0.0024509803921568627 5:0.0024509803921568627 10:0.0024509803921568627
AP891114-0172 7:0.6281847133757962 2:0.11226114649681529 9:0.08996815286624203 3:0.06767515923566879 15:0.019904458598726114 11:0.016719745222929936 13:0.016719745222929936 12:0.013535031847133758 14:0.007165605095541401 16:0.007165605095541401 1:0.007165605095541401 8:0.003980891719745223 10:0.003980891719745223 17:7.961783439490446E-4 18:7.961783439490446E-4 19:7.961783439490446E-4 0:7.961783439490446E-4 4:7.961783439490446E-4 5:7.961783439490446E-4 6:7.961783439490446E-4
AP891115-0073 10:0.5921717171717171 9:0.14267676767676768 2:0.07702020202020202 3:0.07196969696969698 15:0.036616161616161616 17:0.021464646464646464 0:0.016414141414141416 5:0.011363636363636364 8:0.011363636363636364 19:0.006313131313131313 11:0.0012626262626262627 12:0.0012626262626262627 13:0.0012626262626262627 14:0.0012626262626262627 16:0.0012626262626262627 18:0.0012626262626262627 1:0.0012626262626262627 4:0.0012626262626262627 6:0.0012626262626262627 7:0.0012626262626262627
AP891115-0129 8:0.37682926829268293 18:0.30365853658536585 3:0.12317073170731707 16:0.07439024390243902 9:0.06463414634146342 17:0.01097560975609756 10:0.01097560975609756 12:0.006097560975609756 5:0.006097560975609756 6:0.006097560975609756 7:0.006097560975609756 11:0.0012195121951219512 13:0.0012195121951219512 14:0.0012195121951219512 15:0.0012195121951219512 19:0.0012195121951219512 0:0.0012195121951219512 1:0.0012195121951219512 2:0.0012195121951219512 4:0.0012195121951219512
AP891115-0174 6:0.5836330935251799 9:0.2886690647482014 12:0.029676258992805755 18:0.018884892086330936 11:0.015287769784172662 3:0.015287769784172662 15:0.008093525179856115 16:0.008093525179856115 5:0.008093525179856115 19:0.0044964028776978415 0:0.0044964028776978415 1:0.0044964028776978415 10:0.0044964028776978415 13:8.992805755395684E-4 14:8.992805755395684E-4 17:8.992805755395684E-4 2:8.992805755395684E-4 4:8.992805755395684E-4 7:8.992805755395684E-4 8:8.992805755395684E-4
AP891115-0182 10:0.7471153846153846 9:0.08557692307692308 11:0.03942307692307692 3:0.03942307692307692 12:0.02403846153846154 2:0.020192307692307693 6:0.020192307692307693 13:0.008653846153846154 19:0.004807692307692308 14:9.615384615384616E-4 15:9.615384615384616E-4 16:9.615384615384616E-4 17:9.615384615384616E-4 18:9.615384615384616E-4 0:9.615384615384616E-4 1:9.615384615384616E-4 4:9.615384615384616E-4 5:9.615384615384616E-4 7:9.615384615384616E-4 8:9.615384615384616E-4
AP891116-0034 6:0.37706270627062705 9:0.27145214521452143 19:0.13283828382838284 0:0.05363036303630363 18:0.03712871287128713 12:0.03382838283828383 10:0.027227722772277228 1:0.017326732673267328 5:0.014026402640264026 11:0.007425742574257425 13:0.007425742574257425 8:0.007425742574257425 17:0.004125412541254125 2:0.004125412541254125 14:8.250825082508251E-4 15:8.250825082508251E-4 16:8.250825082508251E-4 3:8.250825082508251E-4 4:8.250825082508251E-4 7:8.250825082508251E-4
AP891116-0052 8:0.46875 18:0.22800925925925927 3:0.10300925925925926 16:0.08912037037037036 9:0.04282407407407408 2:0.019675925925925927 19:0.010416666666666666 12:0.005787037037037037 15:0.005787037037037037 1:0.005787037037037037 7:0.005787037037037037 10:0.005787037037037037 11:0.0011574074074074073 13:0.0011574074074074073 14:0.0011574074074074073 17:0.0011574074074074073 0:0.0011574074074074073 4:0.0011574074074074073 5:0.0011574074074074073 6:0.0011574074074074073
AP891116-0261 14:0.928030303030303 11:0.003787878787878788 12:0.003787878787878788 13:0.003787878787878788 15:0.003787878787878788 16:0.003787878787878788 17:0.003787878787878788 18:0.003787878787878788 19:0.003787878787878788 0:0.003787878787878788 1:0.003787878787878788 2:0.003787878787878788 3:0.003787878787878788 4:0.003787878787878788 5:0.003787878787878788 6:0.003787878787878788 7:0.003787878787878788 8:0.003787878787878788 9:0.003787878787878788 10:0.003787878787878788
AP891117-0012 10:0.6264940239043825 2:0.13645418326693226 3:0.08067729083665338 9:0.04880478087649402 13:0.02888446215139442 5:0.02091633466135458 6:0.01693227091633466 0:0.012948207171314742 14:0.008964143426294821 16:0.0049800796812749 17:0.0049800796812749 11:9.9601593625498E-4 12:9.9601593625498E-4 15:9.9601593625498E-4 18:9.9601593625498E-4 19:9.9601593625498E-4 1:9.9601593625498E-4 4:9.9601593625498E-4 7:9.9601593625498E-4 8:9.9601593625498E-4
AP891119-0080 13:0.33868243243243246 11:0.18327702702702703 9:0.13935810810810811 5:0.09206081081081081 3:0.08868243243243243 17:0.06841216216216216 14:0.03462837837837838 19:0.024493243243243243 12:0.01097972972972973 6:0.007601351351351352 10:0.004222972972972973 15:8.445945945945946E-4 16:8.445945945945946E-4 18:8.445945945945946E-4 0:8.445945945945946E-4 1:8.445945945945946E-4 2:8.445945945945946E-4 4:8.445945945945946E-4 7:8.445945945945946E-4 8:8.445945945945946E-4
AP891120-0014 11:0.4724938875305624 5:0.36246943765281175 9:0.07640586797066015 4:0.0323960880195599 12:0.012836185819070905 16:0.012836185819070905 8:0.012836185819070905 2:0.007946210268948655 1:0.003056234718826406 13:6.112469437652812E-4 14:6.112469437652812E-4 15:6.112469437652812E-4 17:6.112469437652812E-4 18:6.112469437652812E-4 19:6.112469437652812E-4 0:6.112469437652812E-4 3:6.112469437652812E-4 6:6.112469437652812E-4 7:6.112469437652812E-4 10:6.112469437652812E-4
AP891120-0205 14:0.8915094339622641 17:0.02358490566037736 11:0.0047169811320754715 12:0.0047169811320754715 13:0.0047169811320754715 15:0.0047169811320754715 16:0.0047169811320754715 18:0.0047169811320754715 19:0.0047169811320754715 0:0.0047169811320754715 1:0.0047169811320754715 2:0.0047169811320754715 3:0.0047169811320754715 4:0.0047169811320754715 5:0.0047169811320754715 6:0.0047169811320754715 7:0.0047169811320754715 8:0.0047169811320754715 9:0.0047169811320754715 10:0.0047169811320754715
AP891120-0213 13:0.5533088235294118 11:0.17095588235294118 6:0.11948529411764706 17:0.03860294117647059 9:0.03860294117647059 14:0.016544117647058824 0:0.016544117647058824 16:0.009191176470588236 19:0.009191176470588236 10:0.009191176470588236 12:0.001838235294117647 15:0.001838235294117647 18:0.001838235294117647 1:0.001838235294117647 2:0.001838235294117647 3:0.001838235294117647 4:0.001838235294117647 5:0.001838235294117647 7:0.001838235294117647 8:0.001838235294117647
AP891121-0160 12:0.9283980582524272 4:0.02063106796116505 6:0.010922330097087379 14:0.006067961165048544 15:0.006067961165048544 2:0.006067961165048544 7:0.006067961165048544 11:0.0012135922330097086 13:0.0012135922330097086 16:0.0012135922330097086 17:0.0012135922330097086 18:0.0012135922330097086 19:0.0012135922330097086 0:0.0012135922330097086 1:0.0012135922330097086 3:0.0012135922330097086 5:0.0012135922330097086 8:0.0012135922330097086 9:0.0012135922330097086 10:0.0012135922330097086
AP891122-0095 8:0.50390625 7:0.09765625 11:0.08203125 12:0.05078125 16:0.05078125 15:0.03515625 19:0.03515625 9:0.03515625 13:0.01953125 0:0.01953125 5:0.01953125 6:0.01953125 14:0.00390625 17:0.00390625 18:0.00390625 1:0.00390625 2:0.00390625 3:0.00390625 4:0.00390625 10:0.00390625
AP891122-0132 9:0.3798076923076923 2:0.11698717948717949 17:0.10416666666666667 11:0.08493589743589744 6:0.08493589743589744 4:0.07852564102564102 0:0.046474358974358976 3:0.04006410256410257 14:0.014423076923076924 7:0.014423076923076924 8:0.014423076923076924 15:0.008012820512820512 12:0.0016025641025641025 13:0.0016025641025641025 16:0.0016025641025641025 18:0.0016025641025641025 19:0.0016025641025641025 1:0.0016025641025641025 5:0.0016025641025641025 10:0.0016025641025641025
AP891122-0154 5:0.577433628318584 11:0.14380530973451328 9:0.14380530973451328 7:0.046460176991150445 15:0.03761061946902655 14:0.01991150442477876 12:0.0022123893805309734 13:0.0022123893805309734 16:0.0022123893805309734 17:0.0022123893805309734 18:0.0022123893805309734 19:0.0022123893805309734 0:0.0022123893805309734 1:0.0022123893805309734 2:0.0022123893805309734 3:0.0022123893805309734 4:0.0022123893805309734 6:0.0022123893805309734 8:0.0022123893805309734 10:0.0022123893805309734
AP891122-0175 15:0.7046703296703297 9:0.08928571428571429 16:0.0673076923076923 3:0.0673076923076923 13:0.023351648351648352 14:0.017857142857142856 19:0.012362637362637362 11:0.0013736263736263737 12:0.0013736263736263737 17:0.0013736263736263737 18:0.0013736263736263737 0:0.0013736263736263737 1:0.0013736263736263737 2:0.0013736263736263737 4:0.0013736263736263737 5:0.0013736263736263737 6:0.0013736263736263737 7:0.0013736263736263737 8:0.0013736263736263737 10:0.0013736263736263737
AP891122-0236 10:0.5619402985074626 3:0.2126865671641791 0:0.06343283582089553 9:0.06343283582089553 11:0.03955223880597015 2:0.027611940298507463 5:0.009701492537313432 6:0.006716417910447761 16:0.0037313432835820895 17:0.0037313432835820895 12:7.462686567164179E-4 13:7.462686567164179E-4 14:7.462686567164179E-4 15:7.462686567164179E-4 18:7.462686567164179E-4 19:7.462686567164179E-4 1:7.462686567164179E-4 4:7.462686567164179E-4 7:7.462686567164179E-4 8:7.462686567164179E-4
AP891122-0298 4:0.7275 9:0.1075 11:0.10083333333333333 3:0.0275 14:0.0175 15:0.004166666666666667 7:0.004166666666666667 12:8.333333333333334E-4 13:8.333333333333334E-4 16:8.333333333333334E-4 17:8.333333333333334E-4 18:8.333333333333334E-4 19:8.333333333333334E-4 0:8.333333333333334E-4 1:8.333333333333334E-4 2:8.333333333333334E-4 5:8.333333333333334E-4 6:8.333333333333334E-4 8:8.333333333333334E-4 10:8.333333333333334E-4
AP891123-0010 15:0.7680555555555556 3:0.05694444444444444 9:0.05138888888888889 17:0.034722222222222224 16:0.02361111111111111 11:0.018055555555555554 1:0.0125 13:0.006944444444444444 2:0.006944444444444444 5:0.006944444444444444 12:0.001388888888888889 14:0.001388888888888889 18:0.001388888888888889 19:0.001388888888888889 0:0.001388888888888889 4:0.001388888888888889 6:0.001388888888888889 7:0.001388888888888889 8:0.001388888888888889 10:0.001388888888888889
AP891123-0035 17:0.5241477272727273 18:0.1434659090909091 9:0.06960227272727272 3:0.052556818181818184 0:0.03551136363636364 7:0.03551136363636364 11:0.029829545454545456 12:0.029829545454545456 13:0.029829545454545456 14:0.029829545454545456 8:0.007102272727272727 15:0.0014204545454545455 16:0.0014204545454545455 19:0.0014204545454545455 1:0.0014204545454545455 2:0.0014204545454545455 4:0.0014204545454545455 5:0.0014204545454545455 6:0.0014204545454545455 10:0.0014204545454545455
AP891124-0177 17:0.29312865497076024 3:0.17616959064327486 1:0.14985380116959066 9:0.09429824561403509 11:0.07675438596491228 0:0.062134502923976605 16:0.041666666666666664 13:0.029970760233918127 2:0.021198830409356724 12:0.015350877192982455 10:0.015350877192982455 7:0.012426900584795321 4:0.006578947368421052 14:7.309941520467836E-4 15:7.309941520467836E-4 18:7.309941520467836E-4 19:7.309941520467836E-4 5:7.309941520467836E-4 6:7.309941520467836E-4 8:7.309941520467836E-4
AP891126-0033 9:0.5867139959432048 3:0.11206896551724138 18:0.10801217038539554 16:0.09584178498985801 1:0.030933062880324543 11:0.0268762677484787 8:0.014705882352941176 15:0.010649087221095335 14:0.004563894523326572 0:0.002535496957403651 10:0.002535496957403651 12:5.070993914807302E-4 13:5.070993914807302E-4 17:5.070993914807302E-4 19:5.070993914807302E-4 2:5.070993914807302E-4 4:5.070993914807302E-4 5:5.070993914807302E-4 6:5.070993914807302E-4 7:5.070993914807302E-4
AP891127-0003 15:0.7563559322033898 8:0.09533898305084745 3:0.0614406779661017 0:0.02754237288135593 16:0.01059322033898305 18:0.01059322033898305 7:0.01059322033898305 11:0.00211864406779661 12:0.00211864406779661 13:0.00211864406779661 14:0.00211864406779661 17:0.00211864406779661 19:0.00211864406779661 1:0.00211864406779661 2:0.00211864406779661 4:0.00211864406779661 5:0.00211864406779661 6:0.00211864406779661 9:0.00211864406779661 10:0.00211864406779661
AP891127-0020 9:0.652127659574468 18:0.12446808510638298 3:0.11595744680851064 16:0.052127659574468084 15:0.018085106382978722 11:0.013829787234042552 8:0.005319148936170213 10:0.005319148936170213 12:0.0010638297872340426 13:0.0010638297872340426 14:0.0010638297872340426 17:0.0010638297872340426 19:0.0010638297872340426 0:0.0010638297872340426 1:0.0010638297872340426 2:0.0010638297872340426 4:0.0010638297872340426 5:0.0010638297872340426 6:0.0010638297872340426 7:0.0010638297872340426
AP891127-0156 15:0.7362385321100917 3:0.08486238532110092 8:0.06651376146788991 6:0.02981651376146789 13:0.020642201834862386 18:0.020642201834862386 11:0.011467889908256881 12:0.0022935779816513763 14:0.0022935779816513763 16:0.0022935779816513763 17:0.0022935779816513763 19:0.0022935779816513763 0:0.0022935779816513763 1:0.0022935779816513763 2:0.0022935779816513763 4:0.0022935779816513763 5:0.0022935779816513763 7:0.0022935779816513763 9:0.0022935779816513763 10:0.0022935779816513763
AP891127-0240 11:0.39285714285714285 9:0.12012987012987013 13:0.10714285714285714 7:0.10714285714285714 16:0.09415584415584416 4:0.09415584415584416 18:0.016233766233766232 0:0.016233766233766232 10:0.016233766233766232 12:0.003246753246753247 14:0.003246753246753247 15:0.003246753246753247 17:0.003246753246753247 19:0.003246753246753247 1:0.003246753246753247 2:0.003246753246753247 3:0.003246753246753247 5:0.003246753246753247 6:0.003246753246753247 8:0.003246753246753247
AP891127-0245 16:0.6136363636363636 4:0.18388429752066116 11:0.09297520661157024 12:0.05991735537190083 3:0.01859504132231405 13:0.002066115702479339 14:0.002066115702479339 15:0.002066115702479339 17:0.002066115702479339 18:0.002066115702479339 19:0.002066115702479339 0:0.002066115702479339 1:0.002066115702479339 2:0.002066115702479339 5:0.002066115702479339 6:0.002066115702479339 7:0.002066115702479339 8:0.002066115702479339 9:0.002066115702479339 10:0.002066115702479339
AP891127-0259 4:0.6706730769230769 9:0.09375 3:0.07772435897435898 11:0.058493589743589744 16:0.03926282051282051 19:0.013621794871794872 0:0.010416666666666666 14:0.007211538461538462 15:0.007211538461538462 18:0.007211538461538462 7:0.007211538461538462 12:8.012820512820513E-4 13:8.012820512820513E-4 17:8.012820512820513E-4 1:8.012820512820513E-4 2:8.012820512820513E-4 5:8.012820512820513E-4 6:8.012820512820513E-4 8:8.012820512820513E-4 10:8.012820512820513E-4
AP891128-0045 17:0.4166666666666667 3:0.27525252525252525 16:0.07323232323232323 9:0.05303030303030303 12:0.04292929292929293 13:0.04292929292929293 2:0.03282828282828283 15:0.022727272727272728 5:0.012626262626262626 11:0.0025252525252525255 14:0.0025252525252525255 18:0.0025252525252525255 19:0.0025252525252525255 0:0.0025252525252525255 1:0.0025252525252525255 4:0.0025252525252525255 6:0.0025252525252525255 7:0.0025252525252525255 8:0.0025252525252525255 10:0.0025252525252525255
AP891128-0194 4:0.8294979079497908 9:0.0596234309623431 3:0.051255230125523014 16:0.030334728033472803 18:0.009414225941422594 19:0.005230125523012552 11:0.0010460251046025104 12:0.0010460251046025104 13:0.0010460251046025104 14:0.0010460251046025104 15:0.0010460251046025104 17:0.0010460251046025104 0:0.0010460251046025104 1:0.0010460251046025104 2:0.0010460251046025104 5:0.0010460251046025104 6:0.0010460251046025104 7:0.0010460251046025104 8:0.0010460251046025104 10:0.0010460251046025104
AP891128-0202 14:0.8125 11:0.09191176470588236 13:0.01838235294117647 3:0.01838235294117647 12:0.003676470588235294 15:0.003676470588235294 16:0.003676470588235294 17:0.003676470588235294 18:0.003676470588235294 19:0.003676470588235294 0:0.003676470588235294 1:0.003676470588235294 2:0.003676470588235294 4:0.003676470588235294 5:0.003676470588235294 6:0.003676470588235294 7:0.003676470588235294 8:0.003676470588235294 9:0.003676470588235294 10:0.003676470588235294
AP891129-0221 18:0.45353982300884954 1:0.13495575221238937 13:0.1084070796460177 7:0.1084070796460177 8:0.07300884955752213 9:0.05530973451327434 12:0.028761061946902654 17:0.011061946902654867 11:0.0022123893805309734 14:0.0022123893805309734 15:0.0022123893805309734 16:0.0022123893805309734 19:0.0022123893805309734 0:0.0022123893805309734 2:0.0022123893805309734 3:0.0022123893805309734 4:0.0022123893805309734 5:0.0022123893805309734 6:0.0022123893805309734 10:0.0022123893805309734
AP891129-0256 4:0.870817843866171 3:0.0604089219330855 11:0.03438661710037175 13:0.008364312267657992 14:0.004646840148698885 0:0.004646840148698885 6:0.004646840148698885 12:9.293680297397769E-4 15:9.293680297397769E-4 16:9.293680297397769E-4 17:9.293680297397769E-4 18:9.293680297397769E-4 19:9.293680297397769E-4 1:9.293680297397769E-4 2:9.293680297397769E-4 5:9.293680297397769E-4 7:9.293680297397769E-4 8:9.293680297397769E-4 9:9.293680297397769E-4 10:9.293680297397769E-4
AP891129-0295 13:0.4929378531073446 11:0.1370056497175141 6:0.09745762711864407 17:0.09180790960451977 9:0.05790960451977401 3:0.03531073446327684 12:0.018361581920903956 18:0.012711864406779662 4:0.012711864406779662 5:0.012711864406779662 10:0.012711864406779662 14:0.007062146892655367 15:0.0014124293785310734 16:0.0014124293785310734 19:0.0014124293785310734 0:0.0014124293785310734 1:0.0014124293785310734 2:0.0014124293785310734 7:0.0014124293785310734 8:0.0014124293785310734
AP891129-0301 17:0.5296610169491526 11:0.2245762711864407 6:0.07203389830508475 19:0.038135593220338986 12:0.0211864406779661 14:0.0211864406779661 4:0.0211864406779661 10:0.0211864406779661 13:0.00423728813559322 15:0.00423728813559322 16:0.00423728813559322 18:0.00423728813559322 0:0.00423728813559322 1:0.00423728813559322 2:0.00423728813559322 3:0.00423728813559322 5:0.00423728813559322 7:0.00423728813559322 8:0.00423728813559322 9:0.00423728813559322
